,EP_id,Publications_in_venue,OC_omid,issn,Open Access
1573,443629,1149,068016897,"['1053-1858', '1477-9803']",Unknown
1066,440491,1147,0626025745,"['1359-432X', '1464-0643']",Unknown
847,439101,1147,0617014202,"['1362-1025', '1469-3593']",Unknown
3558,481595,1146,064034320,"['1753-8556', '0021-8286']",Unknown
2266,447975,1146,061029251,"['1078-0874', '1552-8332']",Unknown
982,440047,1144,061901314,"['0747-4938', '1532-4168']",Unknown
1796,444994,1144,0618040017,"['1477-4631', '0027-4224']",Unknown
1746,444545,1143,06504349,"['1526-5498', '1523-4614']",Unknown
1455,442889,1143,068067345,"['0703-6337', '1477-2280']",Unknown
1728,444403,1143,061038878,"['1744-8581', '0024-2160']",Unknown
1924,445902,1141,0613053770,"['1477-2728', '1043-9463']",Unknown
1080,440541,1140,061902910,['0014-3855'],Unknown
2104,446992,1140,0622029210,['0278-016X'],Unknown
1822,445184,1138,0626021187,['0732-118X'],Unknown
1785,444893,1137,067065672,"['0026-7694', '1712-5286']",Unknown
1065,440488,1133,061108050,"['0967-2567', '1469-5936']",Unknown
1799,444997,1133,0612021679,"['1533-8312', '0730-7829']",Unknown
2525,469991,1129,0612024725,"['1544-8444', '1544-8452']",Unknown
4736,486042,1129,0619029398,"['2163-2049', '1053-8372', '1042-7716', '1469-9656']",Unknown
1434,442786,1129,0614014088,"['0950-0804', '1467-6419']",Unknown
1757,444703,1128,064014051,"['1545-5882', '0145-9740']",Unknown
2018,446476,1126,069010177,['1094-2025'],Unknown
1516,443192,1125,0614017966,"['0022-216X', '1469-767X']",Unknown
696,437881,1125,0618030091,"['1477-2205', '1061-5806']",Unknown
1120,440785,1125,0612011827,"['0016-1128', '1468-2931']",Unknown
1133,440925,1125,068019917,"['1465-0045', '1557-3028']",Unknown
1581,443684,1123,068067586,"['0022-4278', '1552-731X']",Unknown
471,411882,1123,0617021404,['0911-6044'],Unknown
1776,444850,1121,0614015357,"['1468-0017', '0268-1064']",Unknown
448,343590,1119,065030534,"['0021-8308', '1468-5914']",Unknown
1575,443637,1118,061901205,"['0743-9156', '0748-6766', '1547-7207']",Unknown
1242,441638,1118,0621020836,"['1470-3297', '1470-3300']",Unknown
1401,442635,1117,0625025662,"['0021-9894', '1741-6442']",Unknown
925,439640,1117,0611018574,"['1939-0106', '1099-9809']",Unknown
1193,441202,1116,0611055698,"['0046-760X', '1464-5130']",Unknown
1836,445281,1116,069048125,"['1743-0178', '0035-9149']",Unknown
511,419281,1116,0621034291,"['0302-5160', '1569-9781']",Unknown
913,439580,1116,06705638,"['0011-1562', '1467-8705']",Unknown
2196,447506,1116,062205912,"['2161-0045', '0889-4019']",Unknown
2249,447799,1114,0624031686,"['0167-7411', '1572-8749']",Unknown
1307,442077,1114,061707093,['0265-1335'],Unknown
2216,447597,1113,06302121421,['1543-7809'],Unknown
617,437156,1112,0626051113,['1610-1928'],Unknown
969,439919,1107,0621023759,"['1461-4456', '1461-7080']",Unknown
2038,446574,1106,069048261,['0035-0818'],Unknown
3512,481085,1104,0625034310,"['1109-4028', '1756-1108']",Unknown
139,340784,1103,061018380,"['0044-2216', '0925-4560', '1572-8587']",Unknown
207,341375,1101,061029433,"['0010-8367', '1460-3691']",Unknown
1651,444065,1101,0618025471,"['0022-5363', '1573-0492']",Unknown
1910,445751,1100,062041619,['0031-8256'],Unknown
34,340024,1100,062011697,"['0261-9768', '1469-5928']",Unknown
2242,447742,1098,0612011981,"['2163-1654', '0093-3104']",Unknown
840,439033,1098,0624015354,"['1744-4136', '0929-7049']",Unknown
1300,442028,1098,0622059021,"['1572-8110', '1381-2416']",Unknown
796,438702,1097,0621049206,"['0007-4640', '1775-3821']",Unknown
1252,441727,1097,061603083,"['1547-7444', '0305-0629']",Unknown
1477,442981,1096,06707162,"['1465-3869', '0958-9236']",Unknown
886,439383,1096,06707159,"['1744-3210', '0958-8221']",Unknown
2269,447984,1095,0625038101,"['0811-1146', '1476-7244']",Unknown
1450,442833,1094,065051754,"['0022-0787', '2161-1920']",Unknown
1553,443443,1093,061708548,"['2044-8325', '0963-1798']",Unknown
4180,484384,1093,064050630,"['0068-113X', '1753-5352']",Unknown
997,440096,1091,061604666,"['1532-6985', '0046-1520']",Unknown
2170,447379,1091,062014345,"['1470-1278', '1354-0602']",Unknown
5764,490024,1090,0623030263,"['0765-0752', '1777-5418']",Unknown
1072,440512,1089,062405601,"['1050-9585', '1740-4657']",Unknown
999,440098,1089,0616010317,"['0266-7363', '1469-5839']",Unknown
6938,496956,1085,0623032074,['1679-3951'],True
878,439320,1083,062408572,"['0010-4124', '1945-8517']",Unknown
1600,443735,1082,068020078,"['0047-2778', '1540-627X']",Unknown
488,414541,1080,066030989,"['1058-6407', '1530-9134']",Unknown
6374,493447,1079,0624051648,"['1748-121X', '0261-3875']",Unknown
2252,447820,1077,061301406,"['2166-5508', '0362-1529']",Unknown
1865,445535,1077,06109350,"['1468-0114', '0279-0750']",Unknown
3630,481904,1077,0621018170,"['1946-3170', '0163-755X']",Unknown
777,438635,1077,062302452,"['1469-3526', '0960-8788']",Unknown
802,438754,1076,066028584,"['1552-4205', '0007-6503']",Unknown
786,438651,1074,062014414,"['1468-3156', '1354-4187']",Unknown
52,340138,1074,0618050571,"['1470-1316', '1084-8770']",Unknown
829,438921,1073,0621020861,"['0957-9664', '1471-2857']",Unknown
294,342131,1072,0616064889,"['1532-7876', '0899-5605']",Unknown
2600,470867,1071,0611045999,"['1871-1510', '1871-1502']",Unknown
2227,447684,1069,0617045346,"['0888-4781', '1543-2793']",Unknown
248,341722,1069,068042406,"['0022-8877', '1613-1134']",Unknown
1608,443767,1068,06602865,"['0022-4634', '1474-0680']",Unknown
1713,444348,1068,0618040016,"['0027-2671', '1961-8646']",Unknown
453,343621,1068,064031617,"['1087-6537', '0197-2243']",Unknown
671,437687,1066,064010589,"['0969-725X', '1469-2899']",Unknown
1880,445662,1065,069045455,"['1475-6811', '1350-4126']",Unknown
1107,440673,1064,0625022947,"['1740-2344', '0142-7237']",Unknown
2453,468256,1064,068013211,['1570-677X'],Unknown
3451,480485,1062,064037205,"['1988-3293', '1134-3478']",True
993,440092,1061,061401316,"['1741-1440', '1741-1432']",Unknown
2248,447792,1061,0615062267,"['0271-1214', '1538-4845']",Unknown
1594,443713,1060,062304292,"['1573-1847', '1046-560X']",Unknown
358,342781,1059,0619026396,"['1469-9923', '1356-3467']",Unknown
831,438947,1058,0621031278,"['0008-8994', '1600-0498']",Unknown
1046,440368,1058,061034095,"['0014-1836', '2156-7417']",Unknown
1979,446264,1056,062036131,"['1741-3109', '1468-7941']",Unknown
1688,444287,1056,0614014085,"['1747-7581', '0950-0782']",Unknown
933,439743,1056,0614037286,['1278-3366'],True
4554,485583,1055,06202777,"['1035-0772', '2049-7776']",Unknown
1705,444318,1054,067030246,"['1357-650X', '1464-0678']",Unknown
1324,442146,1053,061025103,"['1369-801X', '1469-929X']",Unknown
1299,442022,1053,06504126,"['1464-5300', '1364-5579']",Unknown
1356,442358,1052,061041751,"['1573-322X', '0893-4282', '1187-7863']",Unknown
1630,443924,1052,0614022124,"['1573-0387', '0022-5010']",Unknown
1388,442541,1051,063062928,"['1552-4590', '1069-0727']",Unknown
917,439608,1050,06705643,"['0011-1619', '1939-9138']",Unknown
1813,445085,1050,068033440,"['1588-2810', '0324-4652']",Unknown
2022,446485,1049,062509676,['1090-7009'],Unknown
7527,499192,1048,066027031,"['1940-2325', '0091-5521']",Unknown
1605,443743,1046,068020080,"['1467-9833', '0047-2786']",Unknown
2990,475630,1043,0624018717,"['1727-7051', '1810-5467']",True
222,341525,1043,065025131,"['1460-3551', '1367-5494']",Unknown
551,427055,1041,0618054724,"['1382-5585', '1744-4128']",Unknown
2721,472211,1040,0617021575,['1835-517X'],Unknown
3555,481582,1038,063031208,"['0021-0889', '2053-4744']",Unknown
1700,444301,1038,0617014207,"['1362-1688', '1477-0954']",Unknown
2495,468887,1037,0618043442,"['1872-4353', '1176-7529']",Unknown
398,343182,1036,0624011318,"['1573-0441', '0895-562X']",Unknown
3588,481695,1036,062505143,"['0037-9174', '1957-7842']",True
1923,445901,1035,0614019257,['1363-951X'],Unknown
1214,441275,1033,0618018025,"['1044-8004', '1532-1096']",Unknown
1850,445415,1033,0612060674,"['0923-7992', '1573-708X']",Unknown
1805,445024,1031,0624051582,"['0027-7738', '1756-2279']",True
1912,445756,1031,062041671,"['0031-8388', '1423-0321']",Unknown
187,341164,1029,0616033115,"['0967-0106', '1460-3640']",Unknown
1971,446225,1029,0626024331,"['1533-8576', '0272-3433']",Unknown
2482,468711,1028,069045447,"['1350-293X', '1752-1807']",Unknown
1695,444295,1026,065050584,"['1753-2167', '0957-1736']",Unknown
964,439909,1025,0611027963,"['0392-1921', '1467-7695']",Unknown
2162,447297,1025,061606179,['1359-8546'],Unknown
1167,441139,1025,0613036561,"['0018-1196', '1468-2265']",Unknown
1360,442396,1024,067026033,"['2153-3806', '0091-7710']",Unknown
1243,441641,1023,067031569,"['0742-5627', '0361-6851', '1573-1758']",Unknown
445,343541,1023,0622014254,"['1740-3863', '0952-8733']",Unknown
2814,473542,1023,061034376,['1626-0252'],True
2280,448048,1022,0615033768,"['0042-6032', '1570-0720']",Unknown
2149,447266,1020,061052814,['1355-2198'],Unknown
832,438949,1018,0621031281,"['1569-1616', '0008-9389']",Unknown
433,343416,1017,069045573,"['1464-5114', '0898-5626']",Unknown
3687,482156,1017,0613048962,"['0312-2417', '2470-0363']",Unknown
2306,448183,1015,0613037844,"['1564-698X', '0258-6770']",Unknown
2232,447714,1014,061801641797,['1086-332X'],Unknown
1081,440542,1014,0614026207,"['1060-1538', '1520-6505']",Unknown
1472,442959,1013,0612028793,"['1478-9949', '1478-9957']",Unknown
1019,440247,1012,062205938,['0889-4906'],Unknown
292,342114,1011,0646044425,"['1474-0095', '0261-1430']",Unknown
493,415725,1010,061601922,"['0162-9778', '1751-7877']",Unknown
550,426559,1010,0623014165,"['1468-2389', '0965-075X']",Unknown
2143,447254,1010,062040390,"['0039-3606', '1936-6167']",Unknown
579,433928,1009,065060223,"['1552-5473', '0363-1990']",Unknown
839,439032,1007,06802632664,"['1552-6119', '1077-5595']",Unknown
1706,444319,1007,06503458715,"['2325-5080', '1045-6635']",Unknown
1027,440257,1005,062601057427,"['1467-2235', '1467-2227']",Unknown
3180,477494,1005,0611029338,"['0038-1527', '1873-930X']",Unknown
808,438770,1005,06260208737,"['1864-449X', '1868-9027', '0007-7704']",Unknown
1732,444436,1004,061601673008,['0898-5898'],Unknown
3825,482930,1002,0626048743,"['1776-2944', '1155-3219']",Unknown
719,438031,1002,062502032916,"['0003-9756', '1474-0583']",Unknown
2109,446999,1002,06402155712,"['0951-631X', '1477-4666']",Unknown
1866,445542,1002,06110118312,"['0030-9230', '1477-674X']",Unknown
2067,446719,1002,062102395498,['0304-3479'],Unknown
2891,474425,1002,06902061989,"['1680-4333', '1682-0983']",Unknown
978,440012,1001,061701930635,"['0306-1078', '1741-7260']",Unknown
1485,443030,1000,062401719701,['1477-7266'],Unknown
1239,441578,1000,0617021494,"['1522-7227', '1522-7219']",Unknown
2531,470023,999,06401856363,"['1743-9779', '1743-9760']",Unknown
3407,480076,997,061902074338,"['2104-3752', '0755-7809']",True
2251,447809,996,06401032267,"['1461-6688', '1470-1340']",Unknown
1302,442040,996,06190664314,"['1573-1804', '0957-7572']",Unknown
3040,476159,993,062501897967,['0033-2097'],Unknown
3188,477558,993,0614042614,"['2194-6108', '1935-1682']",Unknown
2276,448043,993,06101227013,"['1470-1553', '1060-1503']",Unknown
386,343035,991,0690286477,"['1547-3384', '1070-289X']",Unknown
8038,502253,991,062202085691,['2148-7782'],Unknown
190,341229,991,06401434702,"['0021-8499', '1740-1909']",Unknown
2995,475654,990,061305648,['1751-9004'],Unknown
449,343591,987,06180506631,"['1957-7958', '0048-8593']",Unknown
1703,444308,987,06702225067,['0770-2817'],Unknown
1392,442577,987,0630735756,"['0301-8121', '1540-6253']",Unknown
1347,442331,986,06901324239,['0278-4254'],Unknown
318,342305,984,06303753404,['0022-4359'],Unknown
1000,440099,983,061702897046,"['1040-726X', '1573-336X']",Unknown
6694,495003,983,06202307148,"['1816-4277', '2686-8415']",True
7441,498953,983,0624050520,"['1899-3192', '2392-0041']",Unknown
1701,444302,983,061602222468,"['0265-5322', '1477-0946']",Unknown
381,342965,982,0643013730,"['1545-4290', '0084-6570']",Unknown
1607,443752,981,063022581,"['1360-6441', '1467-9841']",Unknown
91,340457,980,0622026612,"['1461-7013', '0907-5682']",Unknown
2114,447015,979,0670148600,"['1035-0330', '1470-1219']",Unknown
724,438070,979,061702809745,"['0920-427X', '1572-8374']",Unknown
1654,444096,978,0640961072,"['1363-6820', '1747-5090']",Unknown
1280,441904,976,0623024265,"['1464-5092', '1360-3124']",Unknown
1255,441736,974,0670827117,"['1572-8684', '0020-7047']",Unknown
1644,444002,972,062402020428,"['2044-0014', '0075-4390']",Unknown
593,436041,972,069025522,"['1748-8583', '0954-5395']",Unknown
2107,446995,972,06702601796,"['1940-7874', '0253-3952']",Unknown
1413,442696,968,0626035189,"['1552-5414', '0891-2416']",Unknown
2904,474636,968,06202344844,"['2029-4433', '1611-1699']",True
1499,443128,968,061301802505,"['1366-8250', '1469-9532']",Unknown
900,439487,967,0638030519,"['0749-4467', '1477-2256']",Unknown
717,438020,964,061802036969,"['0003-9519', '1432-0657']",Unknown
2056,446640,961,0610740654,"['1930-322X', '0277-3945']",Unknown
820,438819,961,062401575585,"['0008-3755', '1710-1093']",Unknown
2588,470750,961,061302165270,['1871-1871'],Unknown
537,424232,960,061301174625,"['1473-3277', '1473-3285']",Unknown
3735,482452,959,06901606433,"['0759-6340', '2107-0946']",Unknown
1494,443065,959,0660833205,"['1557-7554', '1096-3480']",Unknown
1810,445050,958,0650148069,"['1573-0859', '0167-806X']",Unknown
1953,446191,958,0622032063,"['1939-1463', '1082-989X']",Unknown
1885,445671,957,061903085745,"['0907-676X', '1747-6623']",Unknown
200,341304,957,061102760544,"['0022-1791', '1573-0395']",Unknown
749,438258,957,06101309209,"['1465-3303', '0816-4649']",Unknown
426,343382,953,061601992919,"['1464-5335', '0267-8373']",Unknown
40,340057,953,068031268,"['0888-3254', '1533-8371']",Unknown
355,342752,952,06130413036,"['1740-7931', '0141-6200']",Unknown
1531,443282,952,06203285042,['0732-3123'],Unknown
1055,440415,951,065025150,"['1741-2722', '1461-9571']",Unknown
841,439040,951,061802449058,"['1573-1693', '0045-6713']",Unknown
1584,443688,950,06203561304,"['0141-0423', '1467-9817']",Unknown
2341,449209,950,06210978253,"['0066-2062', '1776-2774']",Unknown
1868,445566,949,0670114261,"['2272-7639', '0031-0387']",True
4184,484410,948,061802073651,"['0755-7256', '1955-270X']",Unknown
3076,476427,948,06801677059,"['1747-4965', '0332-3315']",Unknown
971,439940,948,06190567914,"['0158-7919', '1475-0198']",Unknown
1053,440404,947,061601341836,['1474-9041'],Unknown
1313,442104,947,062401312534,"['1758-6631', '0020-8582']",Unknown
901,439496,947,06180423927,"['1387-2842', '0025-1534', '1573-1103']",Unknown
2100,446979,947,0640199145,"['1046-4964', '1552-8278']",Unknown
2950,475158,947,061301363563,"['1754-9515', '1754-9507']",Unknown
2177,447389,946,0690428775,"['0141-982X', '1467-9639']",Unknown
1263,441769,945,062101801239,"['1367-0069', '1756-6878']",Unknown
1216,441278,945,06170748111,['1053-4822'],Unknown
1231,441519,944,0690923511,"['0019-4646', '0973-0893']",Unknown
1365,442427,944,062603067596,"['0264-3758', '1468-5930']",Unknown
1655,444109,944,0670644247,"['1540-7322', '0895-2841']",Unknown
676,437749,943,062050732,"['1952-403X', '0003-4436']",Unknown
924,439638,943,0690422600,"['0886-7356', '1548-1360']",True
2327,448274,942,06203022429,"['1664-2880', '1422-4917']",Unknown
1546,443371,942,061601375354,"['0022-2917', '2053-7395']",Unknown
4709,485973,938,06101871602,"['2541-9099', '2071-8160']",True
1238,441577,937,062101748212,"['1525-0008', '1532-7078']",Unknown
2829,473762,936,06180519787,"['1807-0329', '1413-7372']",True
2601,470875,935,06401333133,"['0997-1327', '2105-2271']",True
1213,441274,935,0690579805,"['1469-8374', '1367-8868']",Unknown
1256,441739,934,06260783463,"['0952-8059', '1572-8722']",Unknown
50,340133,933,0619095031,"['1558-2744', '0361-5413']",Unknown
3045,476202,933,062504200,"['0300-953X', '1760-7256']",Unknown
2121,447082,933,06202822884,"['1726-1686', '0258-2473']",Unknown
4844,486346,933,06120899936,['2076-0787'],True
4343,484951,933,0610331497,"['2029-4913', '2029-4921']",True
476,412123,932,066028369,"['1461-7056', '1354-067X']",Unknown
932,439738,932,069013589,"['1469-3704', '0958-5176']",Unknown
708,437985,932,062401642471,"['1988-303X', '0210-1963']",True
2898,474555,932,061301547961,"['1960-6001', '0243-6450']",Unknown
6491,493920,930,062401707547,"['1447-6770', '1839-5260']",Unknown
1863,445521,930,0670587182,"['1468-0092', '0262-5253']",Unknown
1983,446305,929,0621037465,"['1470-109X', '1361-3324']",Unknown
2268,447981,929,061801004758,"['1469-8706', '0963-9268']",Unknown
1247,441690,928,061301036333,"['1467-5986', '1469-8439']",Unknown
8447,504357,928,0614045984,"['2310-8770', '2306-4994']",True
1430,442780,927,06150738740,"['1468-2710', '1468-2702']",Unknown
946,439837,927,06104428,"['1756-3062', '1460-6925']",Unknown
1919,445848,926,06220898977,"['0266-5433', '1466-4518']",Unknown
3150,477013,926,06180649977,"['1749-4001', '0034-4893']",Unknown
467,410773,925,06140601697,"['1573-3394', '1099-1042', '1065-3058']",Unknown
6017,490973,925,0630859440,"['0338-2389', '2425-2042']",Unknown
1099,440622,925,061601280793,['2153-3873'],Unknown
3264,478455,924,06120246134,['2211-9736'],Unknown
2664,471355,924,062403017646,"['1548-7180', '1085-7052', '1935-4940', '1935-4932']",Unknown
1368,442436,923,0610585532,"['1533-1571', '1041-3200']",Unknown
1087,440576,923,06180610270,"['1618-3169', '2190-5142']",Unknown
887,439400,922,062302134707,"['0148-9267', '1531-5169']",Unknown
209,341391,922,06503308476,"['1740-3898', '1384-5748']",Unknown
1554,443445,920,0629039042,"['1076-8998', '1939-1307']",Unknown
1011,440114,918,062101046770,['1086-315X'],Unknown
1422,442740,917,0618030114,"['1081-4159', '1465-7325']",Unknown
1136,440946,916,06501027673,"['0964-4008', '1743-8993']",Unknown
20,339924,915,06803523476,"['1022-6877', '1421-9891']",Unknown
2195,447500,915,0639041380,['0890-8389'],Unknown
2006,446422,915,06190654204,"['0034-5210', '1527-2044']",Unknown
1875,445607,914,06103472726,"['1468-0122', '0264-3944']",Unknown
206,341373,914,06502860413,['0928-7655'],Unknown
1851,445416,914,0619027660,"['0268-0513', '1469-9958']",Unknown
567,430392,913,06202537866,"['1552-8316', '1527-4764']",Unknown
804,438758,913,06303442795,"['0962-8770', '1467-8608']",Unknown
3166,477337,913,062101618944,"['1752-4512', '1752-4520']",Unknown
958,439876,912,06180799452,"['0304-4092', '1573-0786']",Unknown
754,438317,911,06102857775,"['0067-270X', '1945-5534']",Unknown
552,427612,908,0650116638,"['1747-583X', '0961-2025']",Unknown
1489,443051,908,06260343652,"['1360-080X', '1469-9508']",Unknown
2245,447757,907,06190773178,"['1475-5297', '0952-8822']",Unknown
2014,446446,907,0660548313,"['1470-1146', '0267-1522']",Unknown
728,438098,907,06220411073,"['0141-6790', '1467-8365']",Unknown
1108,440706,906,061041534,"['0165-4004', '1614-7308']",Unknown
1628,443911,905,062601119991,"['1568-5209', '0022-4995']",Unknown
1987,446336,904,06402160757,"['1467-9337', '0952-1917']",Unknown
1890,445717,904,06220538532,"['1572-8676', '1568-7759']",Unknown
3055,476250,904,06250293668,['1572-3089'],Unknown
986,440061,904,06801302588,"['0953-5314', '1469-5758']",Unknown
3000,475711,903,06702213183,['0037-802X'],Unknown
1118,440772,903,06702762683,"['1572-8471', '1233-1821']",Unknown
2173,447384,903,061901039669,"['1470-1286', '1047-6210']",Unknown
918,439610,902,0640264363,"['0308-275X', '1460-3721']",Unknown
2045,446602,901,061503093619,['0035-2004'],Unknown
3074,476417,900,061202020463,"['1013-0950', '2158-978X']",Unknown
1124,440842,900,062202414266,"['1355-2074', '1364-9221']",Unknown
663,437651,899,062102569311,"['2507-0290', '0003-2468']",Unknown
363,342829,899,06210406628,"['2325-8101', '0041-462X']",Unknown
1627,443895,898,0630556892,"['2332-0486', '0007-1773']",Unknown
376,342945,898,06501682164,"['1949-6540', '0707-5332']",Unknown
1069,440508,895,06301012332,"['1350-7486', '1469-8293']",Unknown
1407,442674,895,061602633121,['1083-6101'],True
672,437693,895,061903032791,"['0340-5222', '1865-8938']",Unknown
142,340798,893,061901933735,"['1210-7778', '1803-1048']",Unknown
1786,444894,893,06602211425,['1080-658X'],Unknown
1914,445766,892,061502062090,"['1568-5284', '0031-8868']",Unknown
1656,444112,892,062102149150,['1527-2036'],Unknown
270,341878,892,063039159,"['8756-6222', '1465-7341']",Unknown
141,340787,891,062102222190,"['1470-1189', '0950-5431']",Unknown
249,341731,891,06303242035,"['1502-7716', '0346-8755']",Unknown
1199,441212,889,06190395102,"['0073-2753', '1753-8564']",Unknown
5477,488684,888,061601800290,"['1753-8947', '1753-8955']",True
478,412912,888,06170460341,"['0165-0157', '1573-0549']",Unknown
1094,440607,888,062201024451,"['1741-6248', '0894-4865']",Unknown
1251,441720,887,062601773916,"['0803-706X', '1651-2324']",Unknown
914,439581,887,0639042768,"['0891-3811', '1933-8007']",Unknown
573,432940,887,0650908074,"['0266-2671', '1474-0028']",Unknown
514,420167,886,061901255600,"['0892-6794', '1747-7093']",Unknown
404,343220,885,061501010306,"['1350-5068', '1461-7420']",Unknown
2089,446899,885,06130729159,"['1472-0825', '1468-1811']",Unknown
1587,443695,884,06260658868,"['1573-0476', '0895-5646']",Unknown
1342,442312,884,06260116965,"['0162-3532', '2162-9501']",Unknown
160,341000,884,06170728857,"['1466-4372', '1354-5701']",Unknown
1163,441101,882,0652044391,"['0956-2737', '1572-8498']",Unknown
2016,446468,881,06210593993,"['1573-7136', '1380-6653']",Unknown
2404,451216,881,06260310728,"['1573-692X', '1572-3097']",Unknown
2007,446424,881,06250951560,"['1356-9783', '1470-112X']",Unknown
3826,482931,881,061102142841,"['1156-0428', '2114-2203']",Unknown
814,438798,880,06220550437,"['0959-7743', '1474-0540']",Unknown
5373,488331,879,061301937721,['2056-3051'],True
1348,442332,879,061901973677,['0748-5751'],Unknown
1249,441717,879,0621020917,"['1468-4470', '1461-6742']",Unknown
2468,468583,878,06120230870,"['0256-8543', '2150-2641']",Unknown
3771,482595,878,061701673186,"['0898-5952', '1937-8327']",Unknown
2039,446580,877,0630857690,"['2259-6100', '0338-0599']",Unknown
2852,474009,876,0660836893,"['1681-5653', '1022-6508']",True
1393,442582,875,06260632205,"['0021-969X', '2040-4867']",Unknown
494,416348,875,06220750730,"['1470-1308', '0950-236X']",Unknown
1778,444852,875,061302402177,"['0924-6495', '1572-8641']",Unknown
1784,444892,872,061203324620,"['1552-6836', '0097-7004']",Unknown
1173,441164,872,061901121815,['1553-0639'],Unknown
2117,447041,871,06260800962,"['2336-128X', '0038-0288']",Unknown
2187,447443,868,0610199104,"['1479-5760', '1046-2937']",Unknown
1673,444203,867,0650693687,"['1861-891X', '0023-2653']",Unknown
2238,447725,867,062401814425,"['0040-5736', '2044-2556']",Unknown
3429,480216,866,0625054817,"['0256-4718', '1753-5387']",True
2357,449304,866,06901288201,"['1740-5610', '1740-5629']",Unknown
678,437773,865,06202518883,"['0474-7534', '0736-9387', '1934-7243']",Unknown
1149,441017,864,0624096207,"['1552-3993', '1059-6011']",Unknown
1551,443417,863,06802269222,"['1573-3653', '0361-3496', '0191-5886']",Unknown
2273,448013,863,06403253285,"['1016-6262', '1423-0402']",Unknown
1286,441943,863,061601373995,"['0255-7614', '1744-795X']",Unknown
3280,478602,863,061501965391,"['2044-592X', '2044-5911']",Unknown
2111,447005,862,06250328253,"['1471-6437', '0265-0525']",Unknown
479,413067,862,06110966058,"['1531-426X', '1548-2456']",Unknown
1649,444056,860,0650538713,"['1357-4809', '1469-9664']",Unknown
1637,443943,858,061601983497,"['0025-1003', '1475-3502']",Unknown
261,341828,858,061602894494,"['1381-2890', '1573-1928']",Unknown
1042,440363,857,061303117153,"['1741-2706', '1468-7968']",Unknown
277,341946,856,06903313248,['0163-4275'],Unknown
1975,446248,856,0613026180,"['1741-3095', '1462-4745']",Unknown
428,343393,855,061801278787,"['1554-2769', '0003-8504']",Unknown
2154,447274,853,0670794477,"['0008-4298', '2042-0587']",Unknown
755,438318,853,06101322049,"['1569-9668', '0521-9744']",Unknown
308,342219,852,06803240948,"['1016-9040', '1878-531X']",Unknown
2270,447996,851,062201290588,"['1741-6183', '0953-8208']",Unknown
3206,477708,851,061602007041,"['2041-2827', '0165-1153']",Unknown
1854,445464,851,0660996471,"['0105-7510', '1600-0730']",Unknown
1082,440545,848,06301341611,['1474-7049'],True
1291,441972,848,06601149069,"['0967-2559', '1466-4542']",Unknown
3097,476585,847,061601516789,"['1965-0620', '0152-7401']",Unknown
1709,444338,847,061303010621,"['0738-2480', '1939-9022']",Unknown
1939,446031,847,06250769858,"['1557-783X', '1075-8216']",Unknown
2304,448179,846,061902218727,"['0730-8884', '1552-8464']",Unknown
2362,449483,845,06240619843,['1362-0436'],Unknown
8171,502881,845,062502634857,"['2047-9077', '0261-4294']",Unknown
1197,441207,845,06703447074,"['2150-7295', '0308-7298']",Unknown
458,343654,845,0624026035,"['0741-7136', '1552-3047']",Unknown
5942,490723,844,0680400208,"['1084-1806', '1949-0461']",Unknown
2076,446772,843,0622031431,"['1939-1560', '1045-3830']",Unknown
2993,475652,843,061302666439,"['1941-5257', '1941-5265']",Unknown
1126,440844,842,06601304911,"['0953-5233', '1468-0424']",Unknown
2320,448259,841,06503243766,"['0044-2615', '1613-009X']",Unknown
563,430140,840,06601246253,"['1477-2612', '0275-7206']",Unknown
1412,442694,839,06902785407,"['1552-5406', '1043-9862']",Unknown
43,340096,838,0660969555,"['1357-2334', '1743-9337']",Unknown
838,439031,837,061702220246,"['0265-6590', '1477-0865']",Unknown
167,341046,837,06250973474,"['2365-953X', '0049-8653']",Unknown
1207,441260,836,06150690039,"['0018-7143', '1534-6617']",Unknown
1558,443480,835,06180469424,"['0022-3344', '1469-9605']",Unknown
2005,446421,834,061401028776,"['1471-5449', '0958-2029']",Unknown
3282,478609,833,062301500530,"['2043-8214', '2043-8206']",Unknown
2899,474557,833,06603120668,"['2101-0382', '0181-4095']",Unknown
2500,468926,831,061601868047,"['1747-0919', '1747-0927']",Unknown
980,440015,831,0630665997,"['1472-4421', '0957-5146']",Unknown
8370,503917,829,06502864255,['1304-0278'],Unknown
1470,442934,828,06190370303,"['0920-8550', '1573-0735']",Unknown
899,439481,828,06240112184,"['1469-2171', '0960-7773']",Unknown
2009,446434,828,06101302731,"['1470-1138', '0263-5143']",Unknown
2430,451756,827,06130283863,"['0148-3331', '2056-5666']",Unknown
1937,445996,827,06140804186,"['0032-7034', '2196-8225']",Unknown
1015,440203,824,061402395180,['1566-0141'],Unknown
522,422109,824,06120728703,"['1747-5104', '1468-1366']",Unknown
361,342825,822,0625025638,"['1354-0661', '1460-3713']",Unknown
1135,440944,821,06801565494,"['1468-0483', '0016-8777']",Unknown
645,437528,821,061602254915,"['0002-6980', '1745-8234']",Unknown
1451,442851,821,0650823584,['1475-1585'],Unknown
134,340718,820,0660193425,"['0924-1884', '1569-9986']",Unknown
496,416485,820,067067138,"['0019-042X', '1613-4141']",Unknown
743,438175,818,061401812229,"['0969-594X', '1465-329X']",Unknown
1441,442798,818,06180187367,"['1076-9986', '1935-1054']",Unknown
